"Percent through gene"	"10-ng-UHR_U001_S1_L001"	"10-ng-UHR_U002_S2_L001"	"10-ng-UHR_U003_S3_L001"	"10-ng-UHR_U004_S4_L001"	"10-ng-UHR_U005_S5_L001"	"100-ng-UHR_U011_S11_L001"	"100-ng-UHR_U012_S12_L001"	"100-ng-UHR_U013_S13_L001"	"100-ng-UHR_U014_S14_L001"	"100-ng-UHR_U015_S15_L001"	"100ng_A10_S25_L002"	"100ng_A6_S21_L002"	"100ng_A7_S22_L002"	"100ng_A8_S23_L002"	"100ng_A9_S24_L002"	"100ng_U003_S6_L001"	"100ng_U004_S7_L001"	"100ng_U019_S8_L001"	"100ng_U020_S9_L001"	"100ng_U021_S10_L001"	"200ng_A11_S26_L002"	"200ng_A12_S27_L002"	"200ng_B1_S28_L002"	"200ng_B2_S29_L002"	"200ng_B3_S30_L002"	"200ng_U005_S11_L001"	"200ng_U006_S12_L001"	"200ng_U022_S13_L001"	"200ng_U023_S14_L001"	"200ng_U024_S15_L001"	"50-ng-UHR_U006_S6_L001"	"50-ng-UHR_U007_S7_L001"	"50-ng-UHR_U008_S8_L001"	"50-ng-UHR_U009_S9_L001"	"50-ng-UHR_U010_S10_L001"	"500ng_B4_S31_L002"	"500ng_B5_S32_L002"	"500ng_B6_S33_L002"	"500ng_B7_S34_L002"	"500ng_B8_S35_L002"	"50ng_A1_S16_L002"	"50ng_A2_S17_L002"	"50ng_A3_S18_L002"	"50ng_A4_S19_L002"	"50ng_A5_S20_L002"	"50ng_U001_S1_L001"	"50ng_U002_S2_L001"	"50ng_U016_S3_L001"	"50ng_U017_S4_L001"	"50ng_U018_S5_L001"
49	1.203493	1.202716	1.204404	1.21558	1.220447	1.193734	1.195605	1.226253	1.226401	1.223397	1.153058	1.153943	1.153642	1.154453	1.15053	1.2204	1.213949	1.217098	1.217651	1.22887	1.153232	1.154246	1.156667	1.152432	1.149251	1.21321	1.209827	1.20757	1.208612	1.207404	1.208745	1.226212	1.221694	1.236812	1.195167	1.164664	1.15982	1.159023	1.149174	1.151961	1.141237	1.151978	1.153775	1.147712	1.153971	1.21015	1.22113	1.222041	1.21643	1.182466
50	1.219029	1.216348	1.215482	1.2272	1.237043	1.207121	1.208547	1.238586	1.238211	1.232295	1.155908	1.159657	1.158832	1.160083	1.153518	1.213283	1.209427	1.210307	1.213557	1.224799	1.157683	1.159167	1.159682	1.157051	1.152713	1.204901	1.200925	1.201262	1.201956	1.199374	1.224984	1.237393	1.236368	1.249474	1.210876	1.169653	1.163421	1.162622	1.153847	1.15512	1.144742	1.158513	1.15983	1.152996	1.161417	1.206349	1.211848	1.21387	1.210084	1.175819
51	1.215114	1.219592	1.214715	1.224869	1.231112	1.201726	1.204143	1.233237	1.237188	1.231314	1.156556	1.16047	1.159618	1.160947	1.15389	1.203997	1.203371	1.202039	1.207585	1.221955	1.157783	1.159655	1.15864	1.158109	1.152469	1.19511	1.192767	1.192648	1.195235	1.191655	1.224958	1.23575	1.231317	1.247153	1.208216	1.170593	1.162374	1.161833	1.153981	1.154594	1.143103	1.161729	1.161374	1.155852	1.162571	1.201995	1.20327	1.204591	1.205626	1.175502
52	1.209485	1.217728	1.213084	1.221388	1.232207	1.197406	1.200384	1.223739	1.231757	1.223138	1.164257	1.169139	1.167753	1.166725	1.16067	1.197568	1.198034	1.197406	1.201378	1.211957	1.164685	1.166527	1.166212	1.164641	1.159234	1.19015	1.188904	1.186075	1.189263	1.185949	1.224625	1.230003	1.230297	1.237988	1.209181	1.178797	1.169463	1.167829	1.161271	1.163026	1.14564	1.169813	1.169867	1.164032	1.168299	1.197703	1.197199	1.195893	1.200181	1.176373
53	1.186605	1.197672	1.19388	1.201177	1.213551	1.192145	1.180926	1.208246	1.218332	1.225328	1.157441	1.161469	1.16089	1.158983	1.152965	1.194462	1.193817	1.194139	1.195487	1.201051	1.157161	1.158633	1.159158	1.158192	1.152355	1.185182	1.183818	1.182391	1.1841	1.183494	1.205836	1.213297	1.212823	1.223793	1.191582	1.17181	1.163537	1.158917	1.155879	1.156104	1.133964	1.161147	1.162891	1.158659	1.15946	1.194262	1.196116	1.194904	1.198262	1.173364
54	1.181263	1.189643	1.188928	1.194228	1.203678	1.187037	1.173783	1.202883	1.2145	1.227744	1.153646	1.157593	1.156377	1.154181	1.148853	1.180998	1.181164	1.185048	1.185078	1.192223	1.152411	1.151663	1.156008	1.154977	1.146902	1.174504	1.173914	1.176318	1.176183	1.177303	1.197188	1.207135	1.205728	1.221242	1.185519	1.164454	1.157969	1.153442	1.152918	1.152124	1.128959	1.158355	1.159599	1.154947	1.153019	1.184497	1.186881	1.183471	1.190934	1.170744
55	1.175214	1.18762	1.185495	1.191862	1.20009	1.184838	1.168199	1.196558	1.20543	1.22175	1.158008	1.164647	1.159614	1.157923	1.152947	1.18551	1.185138	1.188993	1.199054	1.204752	1.1576	1.154991	1.158015	1.159678	1.148948	1.182004	1.179518	1.184035	1.183585	1.187273	1.188211	1.197291	1.20263	1.215422	1.17995	1.167396	1.16009	1.157283	1.156789	1.158935	1.134031	1.16329	1.165053	1.160755	1.158968	1.190912	1.190806	1.189434	1.195217	1.188945
56	1.175965	1.185927	1.185295	1.189482	1.197871	1.182709	1.16546	1.186439	1.196276	1.213175	1.161579	1.168517	1.162242	1.161745	1.154622	1.189875	1.18889	1.192878	1.201939	1.206491	1.161725	1.158574	1.160171	1.161059	1.150487	1.188914	1.181697	1.191323	1.188461	1.194486	1.186249	1.192348	1.200264	1.203984	1.18019	1.166975	1.161664	1.160677	1.158709	1.164035	1.138041	1.167168	1.170279	1.165923	1.164512	1.19505	1.195501	1.195619	1.196112	1.192345
57	1.175892	1.184428	1.185331	1.187711	1.192552	1.178682	1.164805	1.180495	1.192988	1.206387	1.163161	1.171194	1.165313	1.16339	1.15642	1.185366	1.189205	1.189178	1.189597	1.196185	1.163167	1.16178	1.161222	1.163421	1.151487	1.183865	1.175512	1.187096	1.184353	1.188856	1.184884	1.189586	1.194057	1.19655	1.184443	1.170121	1.163827	1.163149	1.159831	1.166995	1.141909	1.169002	1.172063	1.168031	1.170461	1.191024	1.196225	1.196563	1.195212	1.18115
58	1.16917	1.186464	1.17643	1.188105	1.192241	1.177393	1.163984	1.18361	1.198161	1.208496	1.171216	1.180106	1.171993	1.172337	1.16634	1.180758	1.187208	1.185884	1.1904	1.199601	1.17136	1.172482	1.169926	1.173915	1.160636	1.184106	1.175859	1.184067	1.182997	1.187281	1.180527	1.189835	1.19064	1.196558	1.182882	1.17657	1.172874	1.172303	1.167688	1.175312	1.154086	1.178005	1.181657	1.177575	1.181619	1.188137	1.195362	1.194402	1.195332	1.188909
59	1.158053	1.184014	1.167679	1.179463	1.186202	1.170363	1.154918	1.175568	1.189862	1.200558	1.162899	1.174649	1.168604	1.166395	1.16361	1.181903	1.187105	1.184653	1.191646	1.204114	1.167989	1.169096	1.164962	1.169615	1.156273	1.186121	1.178614	1.184687	1.183795	1.191768	1.173007	1.1829	1.183183	1.187149	1.175695	1.174913	1.169227	1.167498	1.164411	1.170215	1.153412	1.171233	1.177479	1.173013	1.177807	1.190097	1.194643	1.193432	1.194766	1.194124
60	1.155808	1.184005	1.162992	1.174504	1.183795	1.167032	1.15163	1.17018	1.179408	1.188836	1.161845	1.172423	1.17005	1.165542	1.165406	1.17858	1.182904	1.182877	1.191913	1.206944	1.168556	1.170086	1.164307	1.168684	1.156965	1.187743	1.181186	1.186585	1.186153	1.192534	1.170034	1.17846	1.181118	1.177623	1.171818	1.173824	1.169127	1.166773	1.164469	1.17076	1.155308	1.17152	1.176821	1.173162	1.176934	1.188906	1.193647	1.191787	1.191602	1.197603
61	1.15139	1.178153	1.16199	1.174199	1.186499	1.167716	1.153221	1.172584	1.172253	1.180008	1.160519	1.169269	1.168431	1.164867	1.165151	1.170814	1.175457	1.176315	1.184184	1.200779	1.165499	1.166828	1.161743	1.163969	1.154909	1.181237	1.174688	1.18004	1.181107	1.185514	1.166516	1.180455	1.18047	1.178317	1.168681	1.169821	1.165009	1.163649	1.160396	1.166503	1.152151	1.170157	1.174637	1.170554	1.175205	1.18362	1.187667	1.185824	1.188082	1.197262
62	1.14602	1.168608	1.156269	1.170339	1.17802	1.159687	1.150251	1.169681	1.170358	1.177742	1.158755	1.165835	1.167562	1.161924	1.164321	1.167928	1.172121	1.177919	1.179417	1.194198	1.162956	1.163722	1.160011	1.161675	1.154338	1.179153	1.173643	1.177885	1.180492	1.183999	1.162127	1.178819	1.170491	1.177642	1.161817	1.168166	1.162799	1.162709	1.158319	1.165957	1.150133	1.167681	1.172706	1.169023	1.173693	1.181502	1.185274	1.181755	1.185583	1.195676
63	1.140828	1.159247	1.15081	1.15988	1.164742	1.149125	1.14314	1.157551	1.15575	1.166059	1.147868	1.15291	1.156703	1.149587	1.156383	1.149008	1.154796	1.161561	1.162222	1.176004	1.150404	1.152508	1.149102	1.152025	1.144052	1.160048	1.157071	1.161004	1.163871	1.166452	1.155076	1.170085	1.162756	1.165627	1.15333	1.155318	1.148663	1.149818	1.146982	1.155256	1.139981	1.1549	1.160391	1.159071	1.162289	1.163058	1.16783	1.162979	1.164349	1.187176
64	1.131367	1.15249	1.141818	1.149683	1.154414	1.140643	1.134225	1.149569	1.142722	1.154157	1.140227	1.142058	1.147431	1.141944	1.148276	1.136931	1.142667	1.150752	1.153501	1.16909	1.14062	1.143843	1.140999	1.144247	1.13637	1.152519	1.15044	1.153311	1.15713	1.159588	1.146312	1.162292	1.157956	1.156844	1.14378	1.145468	1.141292	1.141406	1.137972	1.14785	1.131194	1.145037	1.151015	1.149348	1.153189	1.151943	1.158009	1.150016	1.150663	1.187991
65	1.121315	1.140414	1.12949	1.135631	1.139236	1.128642	1.125023	1.13631	1.124929	1.139346	1.134796	1.136297	1.141078	1.136206	1.141772	1.123406	1.126294	1.133236	1.139155	1.154327	1.133554	1.134634	1.136131	1.138325	1.129084	1.139751	1.139426	1.141489	1.147325	1.152001	1.135254	1.145902	1.146849	1.1412	1.132785	1.138127	1.137513	1.134898	1.132049	1.142683	1.123869	1.138698	1.144368	1.142063	1.146663	1.137808	1.144309	1.134786	1.134533	1.182196
66	1.113957	1.134302	1.126767	1.127354	1.13293	1.123898	1.126824	1.131409	1.116331	1.129778	1.132386	1.132823	1.138049	1.133214	1.138808	1.113338	1.1132	1.119685	1.127039	1.139428	1.129808	1.130139	1.133236	1.136057	1.127057	1.127353	1.127954	1.13016	1.136717	1.141063	1.132951	1.140425	1.144304	1.133145	1.128442	1.134651	1.134952	1.130508	1.128905	1.139658	1.121352	1.136283	1.139265	1.137641	1.142872	1.124818	1.132328	1.121682	1.122035	1.169368
67	1.111457	1.124098	1.122879	1.121219	1.127329	1.124975	1.125977	1.12561	1.109441	1.124725	1.131071	1.130139	1.134067	1.129645	1.137173	1.109054	1.109781	1.114336	1.123604	1.133912	1.127035	1.126652	1.131339	1.13382	1.126831	1.125094	1.125228	1.127372	1.133635	1.137018	1.129913	1.133582	1.13999	1.129029	1.125538	1.132036	1.132735	1.126603	1.125849	1.13608	1.115677	1.133672	1.136511	1.133176	1.139359	1.120376	1.129023	1.119404	1.116678	1.16742
68	1.108838	1.114506	1.119946	1.118381	1.117662	1.122955	1.126917	1.122846	1.107756	1.12206	1.130839	1.130884	1.133835	1.129455	1.135072	1.114771	1.11838	1.118973	1.130002	1.139056	1.126926	1.126785	1.133691	1.13381	1.128094	1.138062	1.134434	1.138893	1.145054	1.145168	1.129526	1.129643	1.135479	1.128235	1.123918	1.132686	1.133104	1.127544	1.125858	1.136868	1.11305	1.131825	1.136174	1.134699	1.139716	1.127138	1.135859	1.126612	1.121429	1.167154
69	1.106802	1.108105	1.116232	1.114598	1.113147	1.120543	1.126666	1.113217	1.103376	1.115277	1.127747	1.127446	1.131162	1.129958	1.13037	1.116548	1.125384	1.122231	1.133744	1.145708	1.123883	1.12383	1.131352	1.130214	1.126409	1.146293	1.140697	1.145953	1.152784	1.153292	1.127412	1.123167	1.132255	1.117777	1.122636	1.130647	1.131243	1.124984	1.123578	1.1351	1.111163	1.129705	1.133625	1.133638	1.137983	1.129879	1.137996	1.127252	1.123611	1.166569
70	1.103078	1.101031	1.109332	1.105589	1.109519	1.115643	1.120189	1.109069	1.102812	1.109001	1.123844	1.120285	1.124887	1.12694	1.12315	1.111941	1.122503	1.112879	1.132435	1.147589	1.116432	1.116474	1.123904	1.122905	1.11975	1.14112	1.134482	1.140068	1.151752	1.145503	1.121394	1.117375	1.122276	1.114606	1.113744	1.12391	1.127123	1.11981	1.121371	1.130533	1.104841	1.126481	1.129112	1.128912	1.133231	1.125185	1.135153	1.120511	1.122244	1.163799
71	1.097735	1.098198	1.1095	1.097852	1.109247	1.115215	1.11491	1.102491	1.099321	1.100164	1.120894	1.116613	1.122635	1.121152	1.11935	1.10234	1.112347	1.103009	1.121333	1.138976	1.11287	1.111986	1.11892	1.118234	1.115168	1.129431	1.121797	1.127757	1.139791	1.131193	1.116112	1.108176	1.115086	1.109094	1.109465	1.120043	1.123026	1.116499	1.118602	1.126929	1.09998	1.123625	1.124795	1.123739	1.127523	1.116939	1.121906	1.108519	1.111664	1.156776
72	1.09796	1.096896	1.114017	1.09949	1.118441	1.116027	1.114486	1.100726	1.098231	1.096787	1.11628	1.113439	1.118592	1.1162	1.117368	1.09965	1.108693	1.099552	1.11415	1.136974	1.110919	1.108309	1.116631	1.116261	1.112848	1.12642	1.118506	1.126209	1.135365	1.131104	1.117031	1.107909	1.116278	1.107678	1.10913	1.117881	1.118896	1.112934	1.116353	1.124449	1.097692	1.119214	1.120688	1.119624	1.122309	1.112671	1.115654	1.104048	1.105229	1.160681
73	1.09156	1.089332	1.109831	1.091184	1.114629	1.111788	1.106621	1.096056	1.090986	1.089771	1.113325	1.110714	1.114102	1.113701	1.115762	1.096468	1.104257	1.0965	1.112151	1.13894	1.107584	1.104221	1.113102	1.111639	1.108704	1.125446	1.115912	1.126297	1.134288	1.129415	1.110702	1.100756	1.112507	1.104223	1.103198	1.113034	1.113591	1.107379	1.111213	1.12022	1.092101	1.115922	1.117077	1.117226	1.118604	1.110137	1.109839	1.099423	1.100871	1.164949
74	1.083058	1.085017	1.098615	1.078566	1.104529	1.100254	1.094116	1.092434	1.084536	1.084623	1.108681	1.104584	1.106499	1.109626	1.111659	1.088846	1.093462	1.089257	1.107071	1.138813	1.100559	1.098483	1.107734	1.105642	1.104028	1.117979	1.10684	1.119142	1.12836	1.12154	1.100305	1.088876	1.104098	1.098549	1.091912	1.106112	1.107003	1.101159	1.104734	1.113954	1.087914	1.11083	1.112152	1.113846	1.112228	1.102275	1.103695	1.093005	1.094587	1.167333
75	1.070051	1.070468	1.083733	1.067599	1.090433	1.084869	1.083502	1.081986	1.071045	1.073916	1.107264	1.103588	1.10537	1.108599	1.109281	1.063327	1.066617	1.063812	1.088093	1.121488	1.097301	1.094684	1.105021	1.101904	1.101743	1.09537	1.081605	1.093606	1.107147	1.098201	1.086479	1.0741	1.087761	1.09089	1.078745	1.102428	1.103155	1.099056	1.101746	1.109656	1.085299	1.110041	1.110623	1.113753	1.110247	1.078855	1.07836	1.064802	1.06424	1.158156
76	1.061898	1.061428	1.074001	1.062862	1.080252	1.081601	1.07528	1.072435	1.062134	1.066706	1.101171	1.099463	1.101112	1.103572	1.102006	1.043506	1.047865	1.045066	1.075105	1.105656	1.09106	1.089307	1.100361	1.096762	1.096905	1.082848	1.0661	1.077481	1.09398	1.086038	1.073317	1.0646	1.080228	1.081422	1.074924	1.097492	1.094604	1.093535	1.096252	1.103713	1.0797	1.106064	1.106776	1.110328	1.103679	1.062205	1.062114	1.044763	1.04851	1.145728
77	1.057505	1.057851	1.068937	1.055919	1.078013	1.078014	1.071799	1.065793	1.058212	1.059248	1.095887	1.094058	1.096229	1.098103	1.096927	1.02966	1.03598	1.030966	1.061573	1.088305	1.083947	1.083149	1.094052	1.090552	1.089215	1.070769	1.054272	1.064259	1.079801	1.072769	1.069864	1.058691	1.073473	1.074419	1.070384	1.089298	1.086934	1.085683	1.089387	1.095588	1.075256	1.10091	1.10269	1.105049	1.09861	1.046745	1.047304	1.031364	1.038227	1.139898
78	1.045121	1.046192	1.054085	1.045002	1.067438	1.063973	1.057728	1.048001	1.044651	1.041279	1.098801	1.098556	1.100829	1.100246	1.099773	1.020792	1.02763	1.021606	1.052073	1.074861	1.086734	1.085245	1.098755	1.093459	1.092617	1.063194	1.045612	1.054169	1.070344	1.064422	1.057656	1.044797	1.062212	1.052779	1.056675	1.093065	1.090933	1.089382	1.094501	1.099954	1.07367	1.103463	1.108563	1.108149	1.101556	1.035745	1.037122	1.023046	1.029491	1.141829
79	1.038067	1.043423	1.051921	1.041294	1.06344	1.061334	1.053775	1.040742	1.031267	1.026623	1.098217	1.098302	1.101304	1.10031	1.099976	1.010805	1.018826	1.010155	1.041777	1.058508	1.085327	1.084263	1.099249	1.093919	1.09348	1.048915	1.031469	1.039349	1.05445	1.049822	1.052035	1.040219	1.05878	1.044364	1.051908	1.094722	1.091567	1.091259	1.096685	1.101776	1.069701	1.102865	1.109064	1.109109	1.102054	1.025131	1.025974	1.014392	1.01974	1.13061
80	1.026737	1.033955	1.039768	1.029026	1.050276	1.050264	1.040203	1.025194	1.015455	1.011482	1.087757	1.085291	1.088724	1.089483	1.088291	0.990298	0.997919	0.989763	1.023279	1.040983	1.073691	1.071085	1.087084	1.082099	1.082272	1.031407	1.012686	1.021722	1.034763	1.029023	1.035997	1.025997	1.047884	1.029791	1.040449	1.082108	1.079726	1.079915	1.085839	1.089943	1.059591	1.092353	1.099407	1.099643	1.09074	1.005751	1.007512	0.994445	0.999627	1.121209
81	1.017362	1.019749	1.026653	1.017416	1.031935	1.033822	1.023025	1.006515	0.999327	0.993209	1.076688	1.072939	1.075586	1.078943	1.076586	0.976748	0.983636	0.976949	1.007336	1.023566	1.060259	1.057884	1.074278	1.069884	1.072167	1.018191	0.998126	1.009282	1.018721	1.017513	1.018554	1.009441	1.030988	1.009849	1.026584	1.06878	1.068423	1.069744	1.075831	1.079015	1.049103	1.083195	1.08918	1.088394	1.079728	0.991462	0.99182	0.97943	0.986077	1.107982
82	1.011225	1.016031	1.01717	1.011885	1.023375	1.026079	1.015032	0.99205	0.98568	0.980092	1.06412	1.05923	1.062096	1.068265	1.063722	0.971082	0.978497	0.974094	1.002572	1.019417	1.046487	1.043842	1.061836	1.057679	1.060612	1.012991	0.99062	1.002338	1.011436	1.012489	1.010098	0.999471	1.025923	0.994238	1.022378	1.055452	1.057929	1.059035	1.065085	1.067697	1.036998	1.071382	1.078136	1.075597	1.067425	0.986858	0.987633	0.977364	0.982132	1.09782
83	1.001446	1.003733	1.004178	1.00056	1.013167	1.012385	1.002171	0.981316	0.970053	0.964282	1.045071	1.038925	1.043347	1.050303	1.044395	0.950477	0.958313	0.954276	0.982722	0.999555	1.026902	1.025026	1.041702	1.03825	1.040707	0.994058	0.970952	0.984375	0.9911	0.991791	0.99902	0.983577	1.013448	0.981751	1.012933	1.035762	1.03832	1.039752	1.04608	1.048615	1.018547	1.051794	1.059268	1.05774	1.047184	0.968941	0.970195	0.961824	0.963839	1.081379
84	0.987162	0.985121	0.988331	0.982646	0.996615	0.993698	0.984219	0.966008	0.947359	0.944124	1.024131	1.017467	1.021493	1.029685	1.022159	0.944807	0.949812	0.947289	0.973723	0.987039	1.003594	1.001601	1.019418	1.016667	1.01767	0.984351	0.962738	0.975668	0.981568	0.981169	0.985162	0.970394	0.992171	0.965249	1.001337	1.012677	1.015281	1.01747	1.023165	1.026171	0.997515	1.031098	1.038072	1.03755	1.026292	0.963161	0.964761	0.957273	0.958599	1.068804
85	0.962594	0.959836	0.959444	0.956184	0.965845	0.96896	0.959609	0.941264	0.922084	0.916195	1.002719	0.996459	1.001438	1.008968	1.001666	0.917223	0.920586	0.919324	0.937436	0.942997	0.981379	0.980723	0.998001	0.995981	0.996465	0.951822	0.931574	0.941451	0.941994	0.947393	0.96308	0.948264	0.964301	0.932361	0.972275	0.989662	0.993121	0.993592	1.001073	1.003209	0.977348	1.0114	1.017666	1.01836	1.006199	0.935595	0.936327	0.929462	0.930985	1.03461
86	0.933884	0.933533	0.934638	0.929958	0.939021	0.942326	0.929613	0.910809	0.891964	0.886365	0.976079	0.969325	0.97551	0.981362	0.975231	0.883508	0.886774	0.884486	0.902234	0.906318	0.952519	0.954298	0.971262	0.968004	0.968582	0.916884	0.898046	0.906635	0.903521	0.909782	0.936287	0.921607	0.935562	0.899455	0.946459	0.960172	0.963774	0.964269	0.972141	0.97442	0.949821	0.985952	0.991694	0.992174	0.979694	0.898555	0.902611	0.895465	0.897981	1.003249
87	0.918938	0.915004	0.921821	0.912685	0.923972	0.926918	0.91266	0.885797	0.868688	0.865973	0.955808	0.947046	0.953199	0.9582	0.952794	0.858572	0.863673	0.860813	0.876436	0.883761	0.92864	0.932223	0.948245	0.94511	0.945873	0.885461	0.872136	0.877086	0.874529	0.87758	0.924136	0.902339	0.918737	0.876642	0.931899	0.93554	0.939935	0.940071	0.947063	0.95094	0.928727	0.963068	0.970543	0.970043	0.956119	0.871309	0.876607	0.870149	0.872894	0.976224
88	0.914971	0.905093	0.919298	0.902937	0.916106	0.91679	0.902515	0.871232	0.858621	0.85608	0.944958	0.934153	0.940539	0.939537	0.940345	0.841007	0.84579	0.84256	0.861104	0.86672	0.915674	0.919616	0.935131	0.933156	0.932973	0.865638	0.854318	0.859121	0.857577	0.858218	0.920699	0.890871	0.908028	0.860654	0.922367	0.923062	0.928125	0.926676	0.93175	0.937377	0.913341	0.945782	0.953383	0.952338	0.938763	0.855839	0.858887	0.854749	0.858433	0.960222
89	0.890592	0.883625	0.895575	0.877739	0.890892	0.88782	0.875399	0.841511	0.837481	0.837307	0.918387	0.907178	0.913547	0.913415	0.913758	0.82025	0.82521	0.822137	0.839285	0.843577	0.888259	0.892895	0.907613	0.90494	0.906034	0.84115	0.833662	0.837621	0.835449	0.835818	0.891601	0.864868	0.882713	0.835629	0.898522	0.896112	0.902482	0.898652	0.903412	0.910619	0.887137	0.919243	0.926577	0.92466	0.911877	0.83573	0.839751	0.835669	0.839935	0.941492
90	0.861809	0.848917	0.863497	0.848161	0.857794	0.854037	0.844275	0.808466	0.804887	0.803658	0.889933	0.878783	0.884976	0.885522	0.885322	0.798838	0.802541	0.800679	0.81464	0.817953	0.861481	0.864486	0.878086	0.876542	0.877002	0.815925	0.811502	0.814439	0.810653	0.814011	0.858018	0.828309	0.847147	0.804119	0.865902	0.867909	0.874954	0.869795	0.874348	0.881997	0.860756	0.889734	0.89701	0.895857	0.883983	0.810802	0.815235	0.811286	0.814693	0.916631
91	0.819712	0.799296	0.819037	0.805163	0.815439	0.811046	0.801695	0.760751	0.758671	0.75517	0.849197	0.836931	0.843374	0.845599	0.843853	0.765703	0.767428	0.765764	0.779973	0.78099	0.820829	0.823446	0.836713	0.835256	0.836649	0.781512	0.776881	0.78056	0.775795	0.781	0.817606	0.785554	0.804063	0.762972	0.820177	0.824551	0.833167	0.826687	0.830478	0.838504	0.818969	0.84826	0.855433	0.854019	0.842312	0.775937	0.778245	0.774377	0.777818	0.879033
92	0.78699	0.765687	0.78728	0.770653	0.782775	0.781247	0.771906	0.728751	0.724915	0.722703	0.813519	0.799401	0.806661	0.809589	0.808446	0.744475	0.743401	0.745921	0.758316	0.760564	0.784639	0.787665	0.801042	0.801006	0.800946	0.760894	0.751522	0.754655	0.754742	0.756646	0.786477	0.756859	0.77094	0.731986	0.786179	0.788651	0.797985	0.789847	0.794068	0.801532	0.783635	0.809981	0.818434	0.816206	0.806629	0.751987	0.754563	0.750587	0.754909	0.858201
93	0.752303	0.734401	0.753187	0.740008	0.746483	0.750041	0.746791	0.706072	0.699192	0.697203	0.778432	0.765081	0.771569	0.7751	0.772782	0.729636	0.724937	0.733261	0.74636	0.743946	0.751418	0.753958	0.767418	0.765987	0.767232	0.743578	0.734081	0.739002	0.738773	0.740611	0.755755	0.73126	0.738443	0.708772	0.754576	0.753946	0.762658	0.755999	0.76014	0.767119	0.749633	0.775582	0.782273	0.77971	0.77249	0.738748	0.735372	0.733776	0.737769	0.828447
94	0.723916	0.710506	0.724517	0.72012	0.713323	0.722783	0.720829	0.688024	0.679503	0.678211	0.742843	0.729618	0.736767	0.740299	0.737376	0.700166	0.697256	0.705428	0.719315	0.717582	0.718926	0.721146	0.732702	0.729312	0.73265	0.712484	0.703329	0.706973	0.707257	0.706609	0.727862	0.707345	0.711752	0.691566	0.728126	0.721907	0.727677	0.722174	0.726235	0.733667	0.716099	0.741053	0.746069	0.7431	0.738332	0.713725	0.706456	0.704263	0.707631	0.794976
95	0.694362	0.679892	0.692948	0.689402	0.674996	0.691518	0.692413	0.663315	0.651082	0.645996	0.70008	0.687301	0.69461	0.699185	0.694571	0.675242	0.674133	0.679635	0.691371	0.68703	0.679924	0.681532	0.69099	0.687131	0.690993	0.686139	0.679075	0.679872	0.67915	0.677199	0.695402	0.6823	0.679759	0.663601	0.697034	0.681665	0.686166	0.682332	0.685391	0.693735	0.676707	0.699416	0.704003	0.700058	0.696816	0.692721	0.681282	0.676502	0.682188	0.755204
96	0.665481	0.653159	0.664729	0.663616	0.642897	0.662514	0.666146	0.641396	0.629893	0.623523	0.658097	0.645562	0.653306	0.657339	0.652088	0.656795	0.653376	0.657997	0.669147	0.661288	0.641924	0.641992	0.650102	0.646851	0.649429	0.664461	0.658292	0.658903	0.657535	0.655255	0.666034	0.661593	0.648922	0.64031	0.666848	0.641933	0.646278	0.643347	0.644444	0.653416	0.637327	0.657442	0.662027	0.656568	0.656157	0.671185	0.661189	0.655966	0.660599	0.715637
97	0.638277	0.628074	0.639889	0.642674	0.613946	0.636854	0.639148	0.62135	0.611074	0.604143	0.621285	0.607156	0.613487	0.619865	0.614229	0.643126	0.639379	0.643055	0.65021	0.643868	0.60865	0.606967	0.612966	0.609032	0.610468	0.650247	0.640287	0.644347	0.641684	0.643715	0.641032	0.645048	0.621947	0.620845	0.637971	0.606363	0.609087	0.607751	0.607625	0.616897	0.603334	0.621594	0.62434	0.617138	0.619169	0.654968	0.647185	0.642892	0.646254	0.693608
98	0.604501	0.597349	0.604091	0.608964	0.579893	0.601638	0.601518	0.59252	0.581123	0.575249	0.57465	0.559439	0.565581	0.573005	0.567495	0.613065	0.60995	0.615859	0.617902	0.613194	0.566338	0.563041	0.565252	0.562433	0.563961	0.617805	0.60997	0.61289	0.609226	0.611647	0.605552	0.617811	0.585971	0.590489	0.599293	0.562187	0.564287	0.562923	0.561857	0.571619	0.560851	0.576223	0.577908	0.569086	0.572968	0.622228	0.61798	0.614331	0.617326	0.656411
99	0.562581	0.557638	0.560032	0.566801	0.541213	0.560545	0.56123	0.555993	0.54617	0.539806	0.528721	0.514306	0.519431	0.526911	0.521187	0.563786	0.559497	0.565764	0.565538	0.561846	0.524526	0.521472	0.520326	0.51957	0.520022	0.565065	0.558253	0.56151	0.555662	0.559657	0.563562	0.581358	0.546183	0.552725	0.555785	0.518042	0.521605	0.519097	0.517519	0.528376	0.518455	0.531398	0.53144	0.522071	0.527601	0.571578	0.569567	0.566884	0.56933	0.596497
100	0.529762	0.525543	0.52646	0.531656	0.511305	0.526711	0.528837	0.52523	0.518922	0.509956	0.49141	0.479081	0.483781	0.490223	0.48365	0.524002	0.518546	0.52694	0.526268	0.522727	0.489994	0.487882	0.485593	0.485221	0.486126	0.524256	0.518603	0.522097	0.517355	0.519766	0.532986	0.552956	0.512069	0.523697	0.520106	0.484843	0.488957	0.484371	0.482752	0.494932	0.484402	0.495556	0.494639	0.48562	0.490799	0.532433	0.530824	0.530681	0.530393	0.544917