"Category"	"Overlapping Genes"	"No Feature"	"Ambiguous Features"	"Multimapping"	"Unmapped"
"10-ng-UHR_U001_S1_L001"	17683227	3356739	2241077	1602864	1266686
"10-ng-UHR_U002_S2_L001"	8195351	1790538	1019694	846935	604872
"10-ng-UHR_U003_S3_L001"	20987562	4396509	2654678	1974776	1384999
"10-ng-UHR_U004_S4_L001"	22889475	5003755	2775286	2325441	1544858
"10-ng-UHR_U005_S5_L001"	24352496	7046423	2918551	3493674	2434278
"100-ng-UHR_U011_S11_L001"	22537340	4290270	2700097	1692500	1404615
"100-ng-UHR_U012_S12_L001"	15387085	2819066	1866553	995527	605487
"100-ng-UHR_U013_S13_L001"	18318696	3320306	2253091	1150618	658756
"100-ng-UHR_U014_S14_L001"	16003123	2912867	1970711	1011762	564356
"100-ng-UHR_U015_S15_L001"	15341005	2980592	1867707	1554345	798270
"100ng_A10_S25_L002"	28489228	2247106	3268805	1914374	2355531
"100ng_A6_S21_L002"	29548831	2312761	3397384	1832614	2246993
"100ng_A7_S22_L002"	32781933	2595133	3734838	2087759	2321621
"100ng_A8_S23_L002"	32919919	2590282	3736516	2144265	2940617
"100ng_A9_S24_L002"	27399643	2134385	3165969	1822327	2935577
"100ng_U003_S6_L001"	31282195	6616311	3968227	2482398	5586274
"100ng_U004_S7_L001"	33810973	5612647	4280733	2419556	3820252
"100ng_U019_S8_L001"	35470406	6173166	4454861	2313321	5308995
"100ng_U020_S9_L001"	35948128	6610306	4640919	2689284	6102059
"100ng_U021_S10_L001"	49267893	9556345	6374139	4098891	6698980
"200ng_A11_S26_L002"	28518786	2212861	3328036	2319407	1797616
"200ng_A12_S27_L002"	30705880	2378706	3586744	1830540	2112823
"200ng_B1_S28_L002"	39510252	3087181	4565587	2371266	3239940
"200ng_B2_S29_L002"	29539342	2263170	3432729	1797793	2384807
"200ng_B3_S30_L002"	28891165	2250526	3349004	1749964	1947156
"200ng_U005_S11_L001"	32203522	5664392	4023145	2064306	4294924
"200ng_U006_S12_L001"	39525616	6691303	4918369	2874147	4573403
"200ng_U022_S13_L001"	29242897	5127346	3634540	1841400	4703695
"200ng_U023_S14_L001"	42347993	7388821	5301655	2689761	5005596
"200ng_U024_S15_L001"	41839859	7690012	5114945	2839290	4499408
"50-ng-UHR_U006_S6_L001"	41342983	8130386	5180260	3478599	2232228
"50-ng-UHR_U007_S7_L001"	20683874	3755910	2625179	1595928	930375
"50-ng-UHR_U008_S8_L001"	13528614	2857822	1622615	1161859	837150
"50-ng-UHR_U009_S9_L001"	18304545	3635562	2329150	1522305	950496
"50-ng-UHR_U010_S10_L001"	20260265	3864548	2561631	3490786	1769110
"500ng_B4_S31_L002"	29390507	2311492	3399721	1763035	2010948
"500ng_B5_S32_L002"	31236888	2488666	3627156	1912270	2445596
"500ng_B6_S33_L002"	29875881	2353047	3467932	1966315	2445911
"500ng_B7_S34_L002"	28566344	2253471	3315274	2469962	2089515
"500ng_B8_S35_L002"	30153511	2348676	3497250	1756243	1891887
"50ng_A1_S16_L002"	26113842	1941429	3067580	2133996	3112560
"50ng_A2_S17_L002"	29209268	2338121	3289403	2266827	2189351
"50ng_A3_S18_L002"	30081570	2381981	3387494	2141353	2207767
"50ng_A4_S19_L002"	30018722	2350194	3382381	2165181	2531027
"50ng_A5_S20_L002"	26727973	2078974	3042825	1869066	2330933
"50ng_U001_S1_L001"	30973283	5261066	3962709	2154130	7323076
"50ng_U002_S2_L001"	35741033	6384774	4537317	2495190	6768054
"50ng_U016_S3_L001"	31398204	5530478	3989020	2218003	4548625
"50ng_U017_S4_L001"	73421581	12926185	9413453	5150236	10863834
"50ng_U018_S5_L001"	23129738	9107976	3065542	3896205	9758348